97000, 29660, 0, 0
97000, 12168, 1, 0
98000, 15628, 0, 0
98000, 6552, 1, 0
99000, 18028, 0, 0
99000, 8152, 1, 0
100000, 14276, 0, 0
100000, 6032, 1, 0
101000, 14488, 0, 0
101000, 5932, 1, 0
102000, 14364, 0, 0
102000, 6112, 1, 0
103000, 15572, 0, 0
103000, 6712, 1, 0
104000, 14560, 0, 0
104000, 6400, 1, 0
105001, 14409, 0, 0
105001, 5938, 1, 0
106000, 14376, 0, 0
106000, 6204, 1, 0
107000, 14684, 0, 0
107000, 6192, 1, 0
108000, 14344, 0, 0
108000, 6148, 1, 0
109000, 14224, 0, 0
109000, 5988, 1, 0
110000, 14724, 0, 0
110000, 5900, 1, 0
111000, 14000, 0, 0
111000, 6256, 1, 0
112000, 19612, 0, 0
112000, 8440, 1, 0
113000, 28352, 0, 0
113000, 11656, 1, 0
114000, 13956, 0, 0
114000, 6128, 1, 0
115000, 15772, 0, 0
115000, 6704, 1, 0
116000, 13724, 0, 0
116000, 5960, 1, 0
117000, 35328, 0, 0
117000, 15116, 1, 0
118000, 13964, 0, 0
118000, 6124, 1, 0
119000, 14472, 0, 0
119000, 6184, 1, 0
120000, 19316, 0, 0
120000, 8032, 1, 0
121000, 14260, 0, 0
121000, 6136, 1, 0
122000, 14160, 0, 0
122000, 6096, 1, 0
123000, 23504, 0, 0
123000, 10280, 1, 0
124000, 44696, 0, 0
124000, 19620, 1, 0
125000, 14300, 0, 0
125000, 5988, 1, 0
126000, 14384, 0, 0
126000, 6188, 1, 0
127000, 14808, 0, 0
127000, 6352, 1, 0
128000, 14276, 0, 0
128000, 6072, 1, 0
129000, 14168, 0, 0
129000, 6056, 1, 0
130000, 14172, 0, 0
130000, 5948, 1, 0
131000, 15016, 0, 0
131000, 6248, 1, 0
132000, 14692, 0, 0
132000, 6528, 1, 0
133000, 13992, 0, 0
133000, 6252, 1, 0
134000, 13908, 0, 0
134000, 6252, 1, 0
135000, 33612, 0, 0
135000, 14800, 1, 0
136000, 37208, 0, 0
136000, 16076, 1, 0
137000, 14304, 0, 0
137000, 6076, 1, 0
138000, 14068, 0, 0
138000, 5920, 1, 0
139000, 14592, 0, 0
139000, 6564, 1, 0
140001, 13842, 0, 0
140001, 5950, 1, 0
141000, 16548, 0, 0
141000, 7436, 1, 0
142000, 24860, 0, 0
142000, 10520, 1, 0
143000, 15156, 0, 0
